player_id,team,opp,pos,name,fpts,proj_own,ceil,floor,min_exposure,max_exposure
37980,CAR,TBB,TE,Colin Thompson,0,,,,0,100
36857,MIA,BUF,TE,Adam Shaheen,0.26,,0.53,0.02,0,100
21755,JAC,TEN,WR,Chris Conley,3.2,0.1,5.57,0.35,0,100
16585,PIT,DEN,TE,Vance McDonald,3.64,0.1,7.24,0.33,0,100
21551,NYJ,SFO,WR,Breshad Perriman,11.17,9.8,19.44,1.34,0,100
982692,KCC,LAC,RB,Darwin Thompson,0.35,0.1,0.7,0.01,0,100
11819,SEA,NEP,T5,Greg Olsen,6.95,,13.83,1.46,0,100
328157,CLE,CIN,QB,Baker Mayfield,17.36,,26.39,7.64,0,100
36885,MIN,IND,RB,Dalvin Cook,19.2,7.2,27.84,8.06,0,100
328462,HOU,BAL,WR,Keke Coutee,0,,,,0,100
18433,NOS,LVR,DST,Saints,7.48,,14.59,1.27,0,100
18441,SEA,NEP,DST,Seahawks,7.44,,14.51,1.26,0,100
328582,DAL,ATL,WR,Michael Gallup,15.12,10.7,24.8,3.93,0,100
35503,CAR,TBB,WR,Robby Anderson,10.93,2,22.08,0.77,0,100
1844333,BUF,MIA,RB,Zack Moss,9.54,1.4,15.65,2.67,0,100
18434,NYG,CHI,DST,Giants,7.11,1.4,13.86,1.21,0,100
18443,TBB,CAR,DST,Buccaneers,8.93,11.2,17.41,1.52,0,100
1002022,LAC,KCC,WR,Jason Moore,0,,,,0,100
328710,ATL,DAL,RB,Ito Smith,3.23,0.1,5.52,1.2,0,100
16549,JAC,TEN,RB,Chris Thompson,6.82,1.1,12.89,1.77,0,100
982200,BUF,MIA,TE,Tommy Sweeney,0,,,,0,100
1844185,PIT,DEN,WR,Chase Claypool,4,0.1,8.2,0.28,0,100
37022,KCC,LAC,QB,Patrick Mahomes,23.46,6.5,31.2,11.73,0,100
1844550,TEN,JAC,RB,Darrynton Evans,0,,,,0,100
18436,LVR,NOS,DST,Raiders,5.34,,10.41,0.91,0,100
18435,NYJ,SFO,DST,Jets,4.34,7.5,8.46,0.74,0,100
18445,WAS,ARI,DST,WAS Football Team,7.5,1,14.63,1.28,0,100
35539,DAL,ATL,QB,Dak Prescott,22.3,12.4,34.57,12.49,0,100
1844646,PHI,LAR,QB,Jalen Hurts,0,,,,0,100
328586,DAL,ATL,WR,Cedrick Wilson,0.55,0.1,1.13,0.04,0,100
